researchExp,industryExp,toeflScore,greV,greQ,greA,univName,cgpaNorm
0,0,111.0,152.0,164.0,4.0,Virginia Tech,0.8539
0,0,108.0,158.0,166.0,3.5,Virginia Tech,0.767
0,20,107.0,155.0,167.0,4.0,Virginia Tech,0.936
0,0,106.0,157.0,165.0,3.5,Virginia Tech,0.8
0,0,109.0,154.0,164.0,3.0,Virginia Tech,0.72
0,0,102.0,160.0,166.0,5.0,Virginia Tech,0.73
0,0,114.0,161.0,161.0,3.5,Virginia Tech,0.901
0,0,113.0,164.0,170.0,4.0,Virginia Tech,0.8640000000000001
0,0,99.0,154.0,158.0,3.0,Virginia Tech,0.8
0,0,116.0,160.0,164.0,4.0,Virginia Tech,0.893
0,0,93.0,145.0,158.0,3.5,Virginia Tech,0.834
0,0,108.0,156.0,170.0,3.0,Virginia Tech,0.8619999999999999
0,24,113.0,159.0,170.0,4.0,University of Wisconsin Madison,0.77
0,0,98.0,165.0,164.0,3.5,University of Wisconsin Madison,0.877
0,0,117.0,162.0,166.0,4.0,University of Wisconsin Madison,0.89
0,0,113.0,160.0,166.0,4.5,University of Wisconsin Madison,0.7345
12,24,111.0,158.0,170.0,4.5,University of Wisconsin Madison,0.912
0,0,117.0,160.0,170.0,5.5,University of Wisconsin Madison,0.957
0,0,108.0,149.0,161.0,4.5,University of Wisconsin Madison,0.978
0,0,111.0,154.0,161.0,3.5,University of Wisconsin Madison,0.8779999999999999
2,0,118.0,160.0,168.0,4.0,University of Wisconsin Madison,0.949
0,0,110.0,166.0,166.0,3.5,University of Wisconsin Madison,0.837
0,0,111.0,164.0,166.0,4.0,University of Wisconsin Madison,0.97
0,0,101.0,163.0,163.0,4.0,University of Wisconsin Madison,0.975
0,0,106.0,147.0,163.0,3.5,University of Wisconsin Madison,0.901
0,0,118.0,167.0,168.0,5.5,University of Wisconsin Madison,0.933
0,0,119.0,170.0,160.0,5.5,University of Wisconsin Madison,0.8079999999999999
0,0,90.0,151.0,160.0,3.5,University of Wisconsin Madison,0.64
0,0,118.0,164.0,169.0,4.0,University of Wisconsin Madison,0.903
0,0,115.0,161.0,164.0,3.5,University of Wisconsin Madison,0.851
0,36,107.0,155.0,164.0,4.0,University of Wisconsin Madison,0.942
0,0,108.0,161.0,167.0,4.0,University of Wisconsin Madison,0.8089999999999999
0,0,109.0,155.0,163.0,3.0,University of Wisconsin Madison,0.8640000000000001
0,0,116.0,163.0,166.0,3.0,University of Wisconsin Madison,0.7240000000000001
6,24,114.0,166.0,170.0,4.5,University of Wisconsin Madison,0.945
0,0,115.0,159.0,163.0,4.5,University of Wisconsin Madison,0.907
0,0,117.0,156.0,161.0,4.0,University of Wisconsin Madison,0.853
0,0,101.0,165.0,161.0,3.5,University of Wisconsin Madison,0.86
0,0,109.0,152.0,166.0,4.0,University of Wisconsin Madison,0.904
0,0,117.0,165.0,159.0,4.0,University of Wisconsin Madison,0.965
0,0,112.0,158.0,168.0,5.0,University of Wisconsin Madison,0.9
0,0,86.0,158.0,164.0,3.0,University of Wisconsin Madison,0.93
0,0,114.0,152.0,159.0,4.0,University of Wisconsin Madison,0.82
0,0,110.0,153.0,166.0,4.5,University of Wisconsin Madison,0.82
0,0,112.0,161.0,170.0,3.5,University of Wisconsin Madison,0.956
